IdTicket,DateTicket,Operateur,TempsTraitement_Min,Resolu,Satisfaction_Client,CoutFacturation,Canal_Contact,Motif,Traite,Reprise_Appel,Conforme,Score_NPS,Motif_Reclamation
TCK20000,2023-01-17,Op003,4.2,Oui,,19.56,Mail,Facturation,Oui,0,Faux,,Comportement agent
TCK20001,2023-04-17,Op001,5.9,0,,35.86,Réseaux sociaux,Résiliation,0,1,Vrai,,
TCK20002,2023-01-07,Op008,4.8,Non,9.0,38.59,TEL,Déménagement,1,1,Vrai,,
TCK20003,2023-04-03,Op002,3.8,0,10.0,55.37,Réseaux sociaux,Panne compteur,Non,0,Vrai,,
TCK20004,2023-10-21,Op004,4.7,1,8.0,53.97,Tel,Litige paiement,0,1,Vrai,,
TCK20005,2023-01-03,Op002,2.6,0,,30.5,Tel,Demande d'information,0,0,,,
TCK20006,2023-07-16,Op007,3.1,1,3.0,23.91,Chat,Souscription contrat,0,1,Vrai,,
TCK20007,2023-05-10,Op005,4.4,0,8.0,26.23,Tel,Relevé compteur,Non,0,Vrai,5.0,
TCK20008,2023-03-26,Op002,4.3,1,6.0,,Mail,Déménagement,1,0,Vrai,,
TCK20009,2023-01-24,Op002,4.8,Oui,10.0,33.04,Chat,Changement d'offre,Non,0,Vrai,,
TCK20010,2023-01-11,Op004,2.8,Non,9.0,34.32,TEL,Réclamation,Non,0,,1.0,
TCK20011,2023-11-13,Op004,5.4,0,9.0,46.93,Chat,Souscription contrat,0,0,Vrai,,
TCK20012,2023-04-19,Op001,5.1,1,9.0,,Réseaux sociaux,Facturation,1,1,Vrai,8.0,
TCK20013,2023-06-27,Op004,6.2,oui,8.0,43.45,Réseaux sociaux,Résiliation,0,0,Vrai,3.0,Comportement agent
TCK20014,2023-04-14,Op001,5.1,Non,4.0,23.24,Réseaux sociaux,Souscription contrat,Non,0,Vrai,5.0,
TCK20015,2023-05-13,Op001,3.7,oui,4.0,56.68,Tel,Panne compteur,0,0,Vrai,,
TCK20016,2023-07-23,Op006,6.2,0,3.0,20.95,Réseaux sociaux,Panne compteur,Non,0,Vrai,5.0,Comportement agent
TCK20017,2023-12-04,Op008,6.0,0,,32.15,Mail,Panne compteur,Oui,1,Vrai,,
TCK20018,2023-01-07,Op008,6.9,Oui,5.0,15.2,Réseaux sociaux,Réclamation,Non,0,Faux,9.0,
TCK20019,2023-11-07,Op005,5.5,0,8.0,58.12,Chat,Souscription contrat,Oui,1,Vrai,5.0,
TCK20020,2023-11-24,Op008,3.9,0,3.0,51.14,Chat,Panne compteur,Non,0,Vrai,6.0,
TCK20021,2023-05-08,Op008,5.5,Oui,10.0,,TEL,Demande d'information,1,0,Faux,8.0,Erreur technique
TCK20022,2023-02-19,Op007,0.6,Non,4.0,25.72,Réseaux sociaux,Souscription contrat,Oui,0,Vrai,8.0,Délai de traitement
TCK20023,2023-11-08,Op006,6.9,Non,,39.05,Tel,Relevé compteur,0,0,,,
TCK20024,2023-01-09,Op007,3.4,Non,,41.46,Réseaux sociaux,Relevé compteur,1,0,Faux,,
TCK20025,2023-01-30,Op006,7.3,Oui,7.0,44.97,Chat,Déménagement,0,0,Vrai,,Facturation incorrecte
TCK20026,2023-09-13,Op008,4.2,oui,,52.99,Chat,Changement d'offre,0,0,Vrai,9.0,
TCK20027,2023-02-18,Op008,4.6,1,9.0,32.91,Chat,Souscription contrat,0,1,Vrai,10.0,
TCK20028,2023-11-23,Op003,2.9,oui,2.0,34.15,TEL,Déménagement,1,0,Vrai,6.0,
TCK20029,2023-09-02,Op004,3.0,Non,,54.34,Tel,Souscription contrat,Non,0,Vrai,7.0,
TCK20030,2023-08-15,Op005,7.0,1,4.0,14.84,Mail,Souscription contrat,Oui,0,Vrai,8.0,
TCK20031,2023-07-31,Op003,3.3,Oui,4.0,33.8,Chat,Souscription contrat,Oui,0,Vrai,,
TCK20032,2023-11-17,Op001,4.5,1,4.0,21.68,TEL,Facturation,Non,0,Vrai,8.0,
TCK20033,2023-12-08,Op004,1.8,Oui,9.0,30.48,Mail,Résiliation,Oui,0,Vrai,,
TCK20034,2023-05-12,Op006,5.7,Non,,21.41,TEL,Panne compteur,Non,0,Vrai,,
TCK20035,2023-09-07,Op007,5.8,1,5.0,56.11,Tel,Déménagement,1,1,Vrai,9.0,
TCK20036,2023-11-25,Op002,1.4,Non,4.0,35.1,Chat,Litige paiement,Oui,0,,,
TCK20037,2023-09-01,Op002,6.9,Non,,40.25,Chat,Relevé compteur,Oui,0,Faux,,
TCK20038,2023-05-25,Op005,3.3,0,,,TEL,Facturation,0,1,Faux,5.0,
TCK20039,2023-03-27,Op001,9.6,0,5.0,35.25,Réseaux sociaux,Demande d'information,Oui,1,Vrai,9.0,
TCK20040,2023-08-01,Op006,5.3,oui,6.0,,Mail,Résiliation,Non,0,Vrai,,
TCK20041,2023-07-06,Op001,3.7,Oui,5.0,37.09,Tel,Résiliation,1,1,Faux,6.0,Comportement agent
TCK20042,2023-09-26,Op008,5.1,Non,10.0,56.62,Tel,Résiliation,1,0,Vrai,1.0,
TCK20043,2023-10-20,Op003,3.6,Non,10.0,57.37,Réseaux sociaux,Souscription contrat,1,0,Vrai,,Comportement agent
TCK20044,2023-10-15,Op001,2.8,0,,35.92,Réseaux sociaux,Souscription contrat,0,0,Vrai,,
TCK20045,2023-10-14,Op007,3.9,Non,,15.63,TEL,Souscription contrat,Non,0,Vrai,,
TCK20046,2023-12-02,Op005,3.5,oui,9.0,,Mail,Résiliation,0,0,Faux,9.0,Délai de traitement
TCK20047,2023-09-21,Op004,1.8,1,7.0,29.16,TEL,Panne compteur,Non,1,Vrai,,
TCK20048,2023-07-07,Op004,4.1,Oui,6.0,18.54,Chat,Déménagement,1,0,Faux,,
TCK20049,2023-08-08,Op008,7.1,oui,10.0,23.36,Mail,Changement d'offre,1,0,Faux,2.0,
TCK20050,2023-11-12,Op002,2.4,0,9.0,40.58,TEL,Réclamation,Non,0,Vrai,10.0,
