Reference_Dossier,Jour,Nom_Agent,Duree_Min,Dossier_Cloture,Note_Client,Prix_Prestation,Type_Contact,Objet,Traite,Repris,Conformite_Controle,NPS_Client,Est_Reclamation
DOS50000,44947,AGT-19,5.8,TRUE,5.0,27.28,Chat,Changement d'offre,TRUE,0,Conforme,9.0,VRAI
DOS50001,44957,AGT-12,4.6,FAUX,3.0,24.11,Courrier,Déménagement,TRUE,0,,,FAUX
DOS50002,45052,AGT-03,1.9,FAUX,5.0,24.25,Email,Relevé compteur,TRUE,0,Conforme,10.0,VRAI
DOS50003,45084,AGT-12,2.6,VRAI,5.0,51.21,Email,Facturation,TRUE,0,Conforme,,FAUX
DOS50004,45123,AGT-03,5.7,FALSE,5.0,50.74,Courrier,Facturation,TRUE,0,,,VRAI
DOS50005,44930,AGT-03,8.8,FAUX,3.0,25.46,Chat,Résiliation,FALSE,0,,,VRAI
DOS50006,45283,AGT-12,5.3,TRUE,5.0,33.05,Courrier,Déménagement,FALSE,0,Conforme,2.0,VRAI
DOS50007,44932,AGT-08,10.7,TRUE,5.0,31.61,Email,Réclamation,TRUE,1,Non Conforme,1.0,FAUX
DOS50008,45012,AGT-08,6.5,VRAI,5.0,31.41,Chat,Souscription contrat,FALSE,1,Conforme,10.0,FAUX
DOS50009,45051,AGT-03,3.7,FALSE,,53.22,Courrier,Litige paiement,FALSE,0,Conforme,8.0,FAUX
DOS50010,45196,AGT-08,6.9,TRUE,,52.45,Chat,Relevé compteur,TRUE,0,Conforme,6.0,VRAI
DOS50011,45136,AGT-11,2.9,FALSE,,40.53,Téléphone,Souscription contrat,FALSE,0,Conforme,,FAUX
DOS50012,45089,AGT-08,5.5,VRAI,,27.49,Chat,Facturation,TRUE,0,NC,8.0,FAUX
DOS50013,44999,AGT-08,5.5,FALSE,2.0,37.81,Téléphone,Résiliation,FALSE,0,Non Conforme,6.0,VRAI
DOS50014,45241,AGT-12,5.4,TRUE,4.0,21.91,Téléphone,Relevé compteur,FALSE,0,Conforme,,VRAI
DOS50015,45137,AGT-25,2.8,TRUE,5.0,43.98,Email,Facturation,TRUE,0,NC,,FAUX
DOS50016,45203,AGT-08,0.3,FAUX,5.0,23.56,Chat,Réclamation,FALSE,0,,,FAUX
DOS50017,45219,AGT-25,0.0,FALSE,3.0,54.94,Téléphone,Résiliation,FALSE,0,Non Conforme,,VRAI
DOS50018,45037,AGT-03,4.7,FALSE,5.0,53.8,Téléphone,Demande d'information,FALSE,1,Conforme,6.0,VRAI
DOS50019,44958,AGT-08,5.9,TRUE,4.0,18.14,Email,Relevé compteur,TRUE,1,Conforme,,FAUX
DOS50020,45270,AGT-03,8.1,TRUE,5.0,27.77,Courrier,Résiliation,FALSE,1,Conforme,7.0,FAUX
DOS50021,45183,AGT-12,5.9,VRAI,,54.05,Courrier,Changement d'offre,FALSE,0,Non Conforme,8.0,VRAI
DOS50022,45088,AGT-19,2.9,FAUX,3.0,32.04,Courrier,Facturation,FALSE,0,,8.0,VRAI
DOS50023,44928,AGT-25,4.8,TRUE,4.0,-41.2,Email,Souscription contrat,TRUE,0,Conforme,,VRAI
DOS50024,45114,AGT-11,4.9,FALSE,4.0,37.53,Courrier,Changement d'offre,TRUE,0,Conforme,,FAUX
DOS50025,45265,AGT-12,7.7,FALSE,5.0,23.5,Chat,Souscription contrat,FALSE,0,Non Conforme,,FAUX
DOS50026,45120,AGT-12,2.0,FALSE,,53.06,Téléphone,Réclamation,TRUE,0,Conforme,,VRAI
DOS50027,45071,AGT-12,0.0,FALSE,5.0,32.78,Téléphone,Panne compteur,TRUE,1,Conforme,4.0,VRAI
DOS50028,45126,AGT-07,3.2,FAUX,4.0,22.51,Chat,Relevé compteur,FALSE,0,,7.0,VRAI
DOS50029,45109,AGT-11,4.1,TRUE,3.0,47.81,Téléphone,Déménagement,TRUE,0,Conforme,,FAUX
DOS50030,44943,AGT-19,6.7,TRUE,4.0,21.97,Courrier,Réclamation,FALSE,0,NC,,FAUX
DOS50031,45081,AGT-07,5.6,TRUE,1.0,17.21,Téléphone,Demande d'information,TRUE,0,Conforme,6.0,VRAI
DOS50032,45100,AGT-12,5.2,FAUX,3.0,54.93,Courrier,Réclamation,FALSE,0,Non Conforme,,FAUX
DOS50033,45044,AGT-25,4.8,FALSE,3.0,41.88,Téléphone,Réclamation,FALSE,0,Conforme,,VRAI
DOS50034,45283,AGT-11,6.7,VRAI,5.0,45.61,Email,Demande d'information,TRUE,0,,7.0,FAUX
DOS50035,45051,AGT-12,4.5,FALSE,,12.66,Courrier,Facturation,TRUE,0,Conforme,,VRAI
DOS50036,44979,AGT-19,4.1,TRUE,5.0,-18.44,Courrier,Facturation,FALSE,0,Conforme,,FAUX
DOS50037,45184,AGT-11,7.0,TRUE,5.0,21.73,Téléphone,Résiliation,TRUE,0,NC,,VRAI
DOS50038,45174,AGT-19,0.2,TRUE,5.0,24.42,Téléphone,Souscription contrat,TRUE,0,Conforme,,FAUX
DOS50039,45228,AGT-19,3.1,TRUE,5.0,19.41,Téléphone,Facturation,TRUE,0,Conforme,5.0,FAUX
DOS50040,45217,AGT-12,3.8,VRAI,3.0,22.53,Téléphone,Relevé compteur,FALSE,1,,,FAUX
DOS50041,45173,AGT-12,7.2,TRUE,5.0,21.36,Téléphone,Changement d'offre,FALSE,0,Non Conforme,8.0,FAUX
DOS50042,45256,AGT-03,5.5,TRUE,2.0,38.03,Email,Litige paiement,FALSE,1,NC,,FAUX
DOS50043,45046,AGT-12,3.0,VRAI,4.0,42.34,Chat,Changement d'offre,FALSE,0,Conforme,,VRAI
DOS50044,45091,AGT-11,2.9,TRUE,,26.2,Chat,Déménagement,TRUE,1,Conforme,8.0,FAUX
DOS50045,45001,AGT-08,7.2,FAUX,,41.31,Chat,Déménagement,FALSE,0,NC,9.0,FAUX
DOS50046,45242,AGT-08,2.9,TRUE,2.0,28.1,Email,Litige paiement,TRUE,0,,7.0,VRAI
DOS50047,45180,AGT-25,4.0,FAUX,4.0,23.7,Chat,Facturation,TRUE,0,Conforme,0.0,VRAI
DOS50048,44978,AGT-12,4.4,FAUX,5.0,14.79,Téléphone,Panne compteur,TRUE,1,Conforme,9.0,FAUX
DOS50049,45240,AGT-12,6.2,VRAI,,43.77,Courrier,Résiliation,TRUE,1,,,VRAI
DOS50050,44992,AGT-07,4.2,FALSE,5.0,14.76,Email,Demande d'information,FALSE,1,NC,,FAUX
DOS50051,45055,AGT-03,2.6,FAUX,5.0,21.73,Téléphone,Déménagement,FALSE,0,Non Conforme,8.0,FAUX
DOS50052,45045,AGT-08,6.4,TRUE,4.0,20.9,Chat,Facturation,FALSE,0,Conforme,,FAUX
DOS50053,45063,AGT-03,6.3,VRAI,3.0,26.44,Chat,Litige paiement,TRUE,0,Conforme,,FAUX
DOS50054,44981,AGT-11,8.3,FAUX,5.0,48.12,Téléphone,Demande d'information,TRUE,0,Conforme,9.0,VRAI
DOS50055,45134,AGT-12,5.7,FALSE,,46.69,Téléphone,Changement d'offre,TRUE,0,Conforme,3.0,FAUX
