N_Contact,Date,Agent_ID,Handling_Time_Sec,Status,Rating,Billed_Amount,Channel,Topic,Handled,Repeat_Call,Compliance,NPS_Score,Complaint
CNT-70000,12/01/2023,103,109,Resolved,3.0,24.13,Social Media,Résiliation,Yes,Yes,Compliant,,No
CNT-70001,02/14/2023,108,217,Resolved,5.0,33.28,Phone,Changement d'offre,Yes,No,Non-compliant,10.0,No
CNT-70002,11/08/2023,108,142,Resolved,,13.77,Social Media,Souscription contrat,Yes,Yes,N/A,10.0,No
CNT-70003,11/11/2023,105,198,resolved,2.0,45.07,Social Media,Panne compteur,Yes,No,Compliant,9.0,No
CNT-70004,10/09/2023,101,464,Resolved,4.0,29.11,Chat,Résiliation,Yes,No,Compliant,5.0,No
CNT-70005,10/05/2023,102,162,resolved,5.0,44.78,Social Media,Réclamation,yes,Yes,N/A,,No
CNT-70006,09/15/2023,108,145,resolved,4.0,46.91,Phone,Résiliation,Yes,No,Compliant,8.0,No
CNT-70007,05/25/2023,109,539,Unresolved,2.0,38.51,Social Media,Souscription contrat,Yes,Yes,N/A,4.0,No
CNT-70008,06/22/2023,101,313,Resolved,3.0,31.35,Phone,Souscription contrat,Yes,Yes,Compliant,10.0,Yes
CNT-70009,10/27/2023,102,305,Resolved,5.0,31.73,Chat,Demande d'information,Yes,No,Compliant,,No
CNT-70010,12/12/2023,108,166,Resolved,,36.89,Email,Changement d'offre,Yes,No,N/A,,No
CNT-70011,10/14/2023,104,461,Pending,2.0,13.45,Chat,Litige paiement,Yes,No,N/A,,No
CNT-70012,11/06/2023,101,114,Pending,5.0,15.6,Chat,Litige paiement,Yes,No,Compliant,8.0,No
CNT-70013,11/10/2023,103,363,resolved,,25.78,Chat,Relevé compteur,Yes,No,Compliant,,No
CNT-70014,01/17/2023,101,378,resolved,2.0,24.69,Social Media,Réclamation,Yes,Yes,Compliant,,No
CNT-70015,04/10/2023,104,403,Pending,5.0,34.14,phone,Réclamation,Yes,No,Non-compliant,10.0,No
CNT-70016,12/27/2023,106,N/A,Unresolved,4.0,31.39,Chat,Panne compteur,Yes,No,Non-compliant,10.0,No
CNT-70017,02/13/2023,102,N/A,Pending,4.0,35.71,Social Media,Demande d'information,No,No,Compliant,,No
CNT-70018,08/01/2023,108,285,resolved,4.0,11.24,Email,Réclamation,Yes,Yes,Non-compliant,4.0,No
CNT-70019,05/29/2023,102,260,resolved,5.0,29.13,Email,Changement d'offre,Yes,No,Compliant,,Yes
CNT-70020,04/26/2023,106,153,Pending,3.0,48.51,Social Media,Litige paiement,Yes,No,Compliant,8.0,No
CNT-70021,06/14/2023,103,223,Pending,,47.82,Social Media,Panne compteur,Yes,Yes,Compliant,,No
CNT-70022,03/29/2023,108,379,Resolved,,30.88,Email,Panne compteur,No,No,Compliant,10.0,No
CNT-70023,08/08/2023,103,120,Unresolved,5.0,42.44,Chat,Déménagement,No,No,Compliant,3.0,No
CNT-70024,02/18/2023,103,338,resolved,4.0,29.9,Email,Souscription contrat,,No,Compliant,,No
CNT-70025,03/15/2023,102,343,resolved,1.0,46.02,Phone,Litige paiement,No,No,Non-compliant,,No
