IdTicket;DateTicket;Agent;Duree_Traitement_Sec;Resolu;Note_Satisfaction_Client;CoutFacturation;Canal;Motif;Traite;Reprise_Appel;Conforme;NPS;Motif_Reclamation
TCK20000;17/01/2023;AG003;252;Oui;;19,56;Email;Facturation;Oui;Non;Non;;Comportement agent
TCK20001;17/04/2023;AG001;354;Non;;35,86;Réseaux Sociaux;Résiliation;Non;Oui;Oui;;Non Renseigné
TCK20002;07/01/2023;AG008;288;Non;4,5;38,59;Téléphone;Déménagement;Oui;Oui;Oui;;Non Renseigné
TCK20003;03/04/2023;AG002;228;Non;5;55,37;Réseaux Sociaux;Panne compteur;Non;Non;Oui;;Non Renseigné
TCK20004;21/10/2023;AG004;282;Oui;4;53,97;Téléphone;Litige paiement;Non;Oui;Oui;;Non Renseigné
TCK20005;03/01/2023;AG002;156;Non;;30,5;Téléphone;Demande d'information;Non;Non;Non Renseigné;;Non Renseigné
TCK20006;16/07/2023;AG007;186;Oui;1,5;23,91;Chat;Souscription contrat;Non;Oui;Oui;;Non Renseigné
TCK20007;10/05/2023;AG005;264;Non;4;26,23;Téléphone;Relevé compteur;Non;Non;Oui;5;Non Renseigné
TCK20008;26/03/2023;AG002;258;Oui;3;;Email;Déménagement;Oui;Non;Oui;;Non Renseigné
TCK20009;24/01/2023;AG002;288;Oui;5;33,04;Chat;Changement d'offre;Non;Non;Oui;;Non Renseigné
TCK20010;11/01/2023;AG004;168;Non;4,5;34,32;Téléphone;Réclamation;Non;Non;Non Renseigné;1;Non Renseigné
TCK20011;13/11/2023;AG004;324;Non;4,5;46,93;Chat;Souscription contrat;Non;Non;Oui;;Non Renseigné
TCK20012;19/04/2023;AG001;306;Oui;4,5;;Réseaux Sociaux;Facturation;Oui;Oui;Oui;8;Non Renseigné
TCK20013;27/06/2023;AG004;372;Oui;4;43,45;Réseaux Sociaux;Résiliation;Non;Non;Oui;3;Comportement agent
TCK20014;14/04/2023;AG001;306;Non;2;23,24;Réseaux Sociaux;Souscription contrat;Non;Non;Oui;5;Non Renseigné
TCK20015;13/05/2023;AG001;222;Oui;2;56,68;Téléphone;Panne compteur;Non;Non;Oui;;Non Renseigné
TCK20016;23/07/2023;AG006;372;Non;1,5;20,95;Réseaux Sociaux;Panne compteur;Non;Non;Oui;5;Comportement agent
TCK20017;04/12/2023;AG008;360;Non;;32,15;Email;Panne compteur;Oui;Oui;Oui;;Non Renseigné
