Reference_Dossier;Date;ID Agent;Durée_Traitement_Sec;Dossier_Cloture;Note_Satisfaction_Client;Prix_Prestation;Type_Contact;Objet;Traite;Appel Repris;Conforme;NPS;Réclammation
DOS50000;21/01/2023;AG019;348;Oui;5;27,28;Chat;Changement d'offre;Oui;Non;Oui;9;Oui
DOS50001;31/01/2023;AG012;276;Non;3;24,11;Courrier;Déménagement;Oui;Non;Non Renseigné;;Non
DOS50002;06/05/2023;AG003;114;Non;5;24,25;Email;Relevé compteur;Oui;Non;Oui;10;Oui
DOS50003;07/06/2023;AG012;156;Oui;5;51,21;Email;Facturation;Oui;Non;Oui;;Non
DOS50004;16/07/2023;AG003;342;Non;5;50,74;Courrier;Facturation;Oui;Non;Non Renseigné;;Oui
DOS50005;04/01/2023;AG003;528;Non;3;25,46;Chat;Résiliation;Non;Non;Non Renseigné;;Oui
DOS50006;23/12/2023;AG012;318;Oui;5;33,05;Courrier;Déménagement;Non;Non;Oui;2;Oui
DOS50007;06/01/2023;AG008;642;Oui;5;31,61;Email;Réclamation;Oui;Oui;Non;1;Non
DOS50008;27/03/2023;AG008;390;Oui;5;31,41;Chat;Souscription contrat;Non;Oui;Oui;10;Non
DOS50009;05/05/2023;AG003;222;Non;;53,22;Courrier;Litige paiement;Non;Non;Oui;8;Non
DOS50010;27/09/2023;AG008;414;Oui;;52,45;Chat;Relevé compteur;Oui;Non;Oui;6;Oui
DOS50011;29/07/2023;AG011;174;Non;;40,53;Téléphone;Souscription contrat;Non;Non;Oui;;Non
DOS50012;12/06/2023;AG008;330;Oui;;27,49;Chat;Facturation;Oui;Non;Non;8;Non
DOS50013;14/03/2023;AG008;330;Non;2;37,81;Téléphone;Résiliation;Non;Non;Non;6;Oui
DOS50014;11/11/2023;AG012;324;Oui;4;21,91;Téléphone;Relevé compteur;Non;Non;Oui;;Oui
DOS50015;30/07/2023;AG025;168;Oui;5;43,98;Email;Facturation;Oui;Non;Non;;Non
DOS50016;04/10/2023;AG008;18;Non;5;23,56;Chat;Réclamation;Non;Non;Non Renseigné;;Non
DOS50017;20/10/2023;AG025;;Non;3;54,94;Téléphone;Résiliation;Non;Non;Non;;Oui
DOS50018;21/04/2023;AG003;282;Non;5;53,8;Téléphone;Demande d'information;Non;Oui;Oui;6;Oui
DOS50019;01/02/2023;AG008;354;Oui;4;18,14;Email;Relevé compteur;Oui;Oui;Oui;;Non
DOS50020;10/12/2023;AG003;486;Oui;5;27,77;Courrier;Résiliation;Non;Oui;Oui;7;Non
DOS50021;14/09/2023;AG012;354;Oui;;54,05;Courrier;Changement d'offre;Non;Non;Non;8;Oui
DOS50022;11/06/2023;AG019;174;Non;3;32,04;Courrier;Facturation;Non;Non;Non Renseigné;8;Oui
DOS50023;02/01/2023;AG025;288;Oui;4;;Email;Souscription contrat;Oui;Non;Oui;;Oui
DOS50024;07/07/2023;AG011;294;Non;4;37,53;Courrier;Changement d'offre;Oui;Non;Oui;;Non
DOS50025;05/12/2023;AG012;462;Non;5;23,5;Chat;Souscription contrat;Non;Non;Non;;Non
DOS50026;13/07/2023;AG012;120;Non;;53,06;Téléphone;Réclamation;Oui;Non;Oui;;Oui
DOS50027;25/05/2023;AG012;;Non;5;32,78;Téléphone;Panne compteur;Oui;Oui;Oui;4;Oui
DOS50028;19/07/2023;AG007;192;Non;4;22,51;Chat;Relevé compteur;Non;Non;Non Renseigné;7;Oui
DOS50029;02/07/2023;AG011;246;Oui;3;47,81;Téléphone;Déménagement;Oui;Non;Oui;;Non
DOS50030;17/01/2023;AG019;402;Oui;4;21,97;Courrier;Réclamation;Non;Non;Non;;Non
DOS50031;04/06/2023;AG007;336;Oui;1;17,21;Téléphone;Demande d'information;Oui;Non;Oui;6;Oui
DOS50032;23/06/2023;AG012;312;Non;3;54,93;Courrier;Réclamation;Non;Non;Non;;Non
DOS50033;28/04/2023;AG025;288;Non;3;41,88;Téléphone;Réclamation;Non;Non;Oui;;Oui
DOS50034;23/12/2023;AG011;402;Oui;5;45,61;Email;Demande d'information;Oui;Non;Non Renseigné;7;Non
DOS50035;05/05/2023;AG012;270;Non;;12,66;Courrier;Facturation;Oui;Non;Oui;;Oui
DOS50036;22/02/2023;AG019;246;Oui;5;;Courrier;Facturation;Non;Non;Oui;;Non
DOS50037;15/09/2023;AG011;420;Oui;5;21,73;Téléphone;Résiliation;Oui;Non;Non;;Oui
DOS50038;05/09/2023;AG019;12;Oui;5;24,42;Téléphone;Souscription contrat;Oui;Non;Oui;;Non
DOS50039;29/10/2023;AG019;186;Oui;5;19,41;Téléphone;Facturation;Oui;Non;Oui;5;Non
DOS50040;18/10/2023;AG012;228;Oui;3;22,53;Téléphone;Relevé compteur;Non;Oui;Non Renseigné;;Non
DOS50041;04/09/2023;AG012;432;Oui;5;21,36;Téléphone;Changement d'offre;Non;Non;Non;8;Non
DOS50042;26/11/2023;AG003;330;Oui;2;38,03;Email;Litige paiement;Non;Oui;Non;;Non
DOS50043;30/04/2023;AG012;180;Oui;4;42,34;Chat;Changement d'offre;Non;Non;Oui;;Oui
DOS50044;14/06/2023;AG011;174;Oui;;26,2;Chat;Déménagement;Oui;Oui;Oui;8;Non
DOS50045;16/03/2023;AG008;432;Non;;41,31;Chat;Déménagement;Non;Non;Non;9;Non
DOS50046;12/11/2023;AG008;174;Oui;2;28,1;Email;Litige paiement;Oui;Non;Non Renseigné;7;Oui
DOS50047;11/09/2023;AG025;240;Non;4;23,7;Chat;Facturation;Oui;Non;Oui;0;Oui
DOS50048;21/02/2023;AG012;264;Non;5;14,79;Téléphone;Panne compteur;Oui;Oui;Oui;9;Non
DOS50049;10/11/2023;AG012;372;Oui;;43,77;Courrier;Résiliation;Oui;Oui;Non Renseigné;;Oui
DOS50050;07/03/2023;AG007;252;Non;5;14,76;Email;Demande d'information;Non;Oui;Non;;Non
DOS50051;09/05/2023;AG003;156;Non;5;21,73;Téléphone;Déménagement;Non;Non;Non;8;Non
DOS50052;29/04/2023;AG008;384;Oui;4;20,9;Chat;Facturation;Non;Non;Oui;;Non
DOS50053;17/05/2023;AG003;378;Oui;3;26,44;Chat;Litige paiement;Oui;Non;Oui;;Non
DOS50054;24/02/2023;AG011;498;Non;5;48,12;Téléphone;Demande d'information;Oui;Non;Oui;9;Oui
DOS50055;27/07/2023;AG012;342;Non;;46,69;Téléphone;Changement d'offre;Oui;Non;Oui;3;Non
DOS50056;16/11/2023;AG007;168;Non;;54,25;Email;Souscription contrat;Non;Non;Non;;Oui
DOS50057;15/05/2023;AG019;492;Non;5;40,61;Téléphone;Relevé compteur;Non;Oui;Oui;7;Oui
DOS50058;29/03/2023;AG007;264;Non;4;54,55;Email;Réclamation;Non;Non;Oui;;Non
DOS50059;07/10/2023;AG025;408;Oui;3;18,78;Chat;Déménagement;Oui;Non;Non;10;Oui
DOS50060;01/07/2023;AG025;486;Oui;;30,6;Chat;Panne compteur;Oui;Non;Oui;9;Oui
DOS50061;12/09/2023;AG003;324;Oui;4;32,13;Téléphone;Relevé compteur;Oui;Non;Oui;1;Oui
DOS50062;21/04/2023;AG003;306;Non;3;37,98;Email;Demande d'information;Non;Non;Oui;9;Non
DOS50063;04/04/2023;AG008;342;Oui;5;14,35;Chat;Litige paiement;Non;Non;Oui;6;Non
DOS50064;17/04/2023;AG008;366;Oui;5;29,37;Téléphone;Panne compteur;Non;Non;Non;9;Oui
DOS50065;24/07/2023;AG007;432;Oui;;12,7;Courrier;Résiliation;Oui;Oui;Non;;Oui
DOS50066;05/10/2023;AG012;288;Non;2;12,05;Email;Demande d'information;Oui;Non;Oui;;Non
DOS50067;12/08/2023;AG025;318;Oui;;38,49;Courrier;Panne compteur;Non;Non;Non;;Non
DOS50068;18/03/2023;AG025;252;Oui;3;40,09;Email;Changement d'offre;Oui;Non;Oui;;Non
DOS50069;03/10/2023;AG008;252;Non;3;14,31;Courrier;Demande d'information;Non;Non;Oui;8;Oui
DOS50070;28/12/2023;AG007;;Non;;36,95;Chat;Déménagement;Non;Oui;Oui;;Oui
DOS50071;18/01/2023;AG012;258;Oui;5;40,46;Courrier;Panne compteur;Non;Non;Oui;10;Oui
DOS50072;24/04/2023;AG011;198;Oui;5;15,84;Email;Demande d'information;Non;Oui;Oui;8;Non
DOS50073;11/05/2023;AG012;414;Non;1;15,38;Courrier;Résiliation;Oui;Non;Oui;10;Non
DOS50074;06/01/2023;AG008;390;Oui;4;21,36;Courrier;Facturation;Non;Non;Non Renseigné;9;Oui
DOS50075;05/11/2023;AG025;300;Non;4;23,04;Chat;Demande d'information;Oui;Oui;Oui;10;Non
DOS50076;20/03/2023;AG012;336;Oui;5;41,23;Chat;Souscription contrat;Oui;Non;Non;8;Non
DOS50077;22/11/2023;AG025;210;Non;3;39,65;Email;Déménagement;Oui;Non;Oui;;Oui
DOS50078;19/09/2023;AG008;306;Non;5;17,78;Téléphone;Changement d'offre;Non;Non;Non Renseigné;;Non
DOS50079;30/03/2023;AG025;450;Non;;24,44;Courrier;Panne compteur;Non;Non;Oui;;Non
DOS50080;02/05/2023;AG011;444;Non;2;34,83;Email;Changement d'offre;Non;Non;Oui;;Non
DOS50081;02/08/2023;AG011;504;Non;3;41,37;Téléphone;Demande d'information;Non;Non;Non;8;Oui
DOS50082;21/12/2023;AG012;414;Non;4;37,2;Courrier;Litige paiement;Oui;Non;Oui;6;Oui
DOS50083;23/08/2023;AG008;348;Non;4;45,48;Courrier;Demande d'information;Oui;Non;Oui;7;Oui
DOS50084;27/05/2023;AG019;408;Non;;50,79;Chat;Souscription contrat;Oui;Non;Oui;;Oui
DOS50085;06/04/2023;AG007;174;Oui;4;28,59;Téléphone;Facturation;Non;Non;Oui;7;Oui
DOS50086;28/03/2023;AG003;396;Non;4;14,56;Chat;Souscription contrat;Non;Non;Oui;9;Oui
DOS50087;16/12/2023;AG012;420;Oui;4;37;Chat;Relevé compteur;Oui;Non;Non;8;Non
DOS50088;20/10/2023;AG025;306;Oui;5;17,24;Chat;Demande d'information;Non;Non;Oui;9;Non
DOS50089;24/02/2023;AG007;318;Oui;4;37,56;Chat;Panne compteur;Oui;Non;Oui;;Oui
DOS50090;21/07/2023;AG025;282;Oui;4;35,29;Courrier;Réclamation;Non;Non;Oui;;Non
DOS50091;25/12/2023;AG003;300;Oui;4;28,68;Email;Facturation;Non;Non;Oui;;Non
DOS50092;10/02/2023;AG007;330;Non;3;47,36;Chat;Résiliation;Non;Non;Non;;Non
DOS50093;16/11/2023;AG019;342;Oui;5;21,31;Courrier;Réclamation;Non;Non;Non Renseigné;8;Non
DOS50094;20/05/2023;AG025;210;Oui;4;44,9;Téléphone;Demande d'information;Oui;Non;Oui;;Oui
DOS50095;06/10/2023;AG011;234;Non;;52,76;Téléphone;Relevé compteur;Non;Non;Non;;Oui
DOS50096;08/06/2023;AG025;390;Non;4;39,46;Courrier;Changement d'offre;Non;Non;Non Renseigné;3;Non
DOS50097;23/10/2023;AG012;354;Oui;;28,67;Chat;Litige paiement;Oui;Non;Oui;;Oui
DOS50098;08/06/2023;AG007;222;Non;4;13,35;Courrier;Changement d'offre;Non;Non;Oui;4;Non
DOS50099;09/02/2023;AG019;294;Oui;5;41,91;Chat;Souscription contrat;Non;Non;Non;;Oui
DOS50100;18/01/2023;AG019;522;Oui;4;35,98;Chat;Résiliation;Non;Non;Oui;;Non
DOS50101;20/12/2023;AG011;66;Oui;4;23,93;Courrier;Litige paiement;Non;Non;Non Renseigné;8;Non
DOS50102;29/08/2023;AG019;12;Non;4;28,7;Email;Déménagement;Oui;Non;Non;;Oui
DOS50103;15/11/2023;AG019;66;Oui;4;47,29;Chat;Demande d'information;Oui;Non;Oui;;Oui
DOS50104;04/07/2023;AG025;576;Non;2;50,51;Email;Facturation;Non;Non;Oui;1;Non
DOS50105;22/05/2023;AG007;186;Oui;4;49,25;Courrier;Déménagement;Non;Non;Oui;7;Non
DOS50106;14/10/2023;AG008;276;Oui;1;13,5;Email;Réclamation;Oui;Non;Oui;;Oui
DOS50107;22/05/2023;AG019;378;Oui;4;23,23;Téléphone;Facturation;Non;Oui;Oui;;Oui
DOS50108;02/01/2023;AG012;366;Oui;4;39,92;Courrier;Litige paiement;Non;Non;Oui;;Oui
DOS50109;11/03/2023;AG011;282;Oui;5;15,51;Téléphone;Panne compteur;Oui;Non;Oui;8;Non
DOS50110;13/02/2023;AG003;480;Non;4;48,96;Chat;Panne compteur;Oui;Non;Oui;9;Non
DOS50111;27/07/2023;AG012;402;Non;4;52,45;Email;Facturation;Oui;Oui;Oui;;Non
DOS50112;17/03/2023;AG019;234;Oui;;22,33;Email;Demande d'information;Oui;Non;Non;10;Oui
DOS50113;22/05/2023;AG011;192;Non;;27,43;Courrier;Changement d'offre;Non;Non;Oui;;Oui
DOS50114;12/02/2023;AG003;330;Oui;4;43,74;Chat;Relevé compteur;Non;Non;Oui;9;Oui
DOS50115;08/12/2023;AG011;408;Non;5;33,08;Chat;Relevé compteur;Oui;Non;Oui;8;Non
DOS50116;14/02/2023;AG003;528;Non;;21,26;Courrier;Changement d'offre;Non;Non;Oui;8;Oui
DOS50117;03/06/2023;AG012;348;Oui;5;43,04;Email;Résiliation;Oui;Non;Oui;;Non
DOS50118;28/08/2023;AG007;270;Oui;;44,1;Téléphone;Demande d'information;Non;Non;Oui;9;Non
DOS50119;17/02/2023;AG008;462;Non;3;;Courrier;Litige paiement;Oui;Oui;Non;;Oui
DOS50120;27/11/2023;AG019;444;Non;;54,65;Chat;Panne compteur;Oui;Non;Oui;;Non
DOS50121;17/11/2023;AG025;402;Oui;5;26,85;Courrier;Litige paiement;Oui;Non;Oui;;Oui
DOS50122;26/02/2023;AG007;174;Non;5;20,78;Chat;Litige paiement;Non;Non;Oui;9;Oui
DOS50123;09/02/2023;AG011;276;Non;;41,82;Téléphone;Facturation;Oui;Non;Non;8;Oui
DOS50124;06/11/2023;AG012;288;Oui;4;19,73;Téléphone;Relevé compteur;Non;Non;Oui;;Non
DOS50125;17/10/2023;AG007;402;Oui;5;24,26;Email;Réclamation;Oui;Oui;Oui;;Non
DOS50126;13/12/2023;AG012;96;Oui;5;22,04;Email;Facturation;Non;Non;Non;7;Oui
DOS50127;14/11/2023;AG012;264;Non;5;43,65;Courrier;Panne compteur;Oui;Non;Non Renseigné;9;Non
DOS50128;20/05/2023;AG007;312;Non;3;46,13;Courrier;Relevé compteur;Oui;Non;Non Renseigné;;Oui
DOS50129;05/07/2023;AG025;288;Oui;5;23,45;Téléphone;Changement d'offre;Oui;Non;Oui;;Non
DOS50130;21/07/2023;AG007;510;Non;3;40,17;Chat;Réclamation;Oui;Non;Oui;9;Oui
DOS50131;28/01/2023;AG011;432;Non;;31,17;Email;Déménagement;Non;Oui;Oui;7;Non
DOS50132;17/10/2023;AG008;432;Oui;4;44,61;Email;Panne compteur;Non;Non;Non Renseigné;9;Non
DOS50133;30/03/2023;AG012;258;Non;5;25,81;Chat;Souscription contrat;Non;Non;Oui;8;Oui
DOS50134;25/01/2023;AG008;330;Oui;5;14,22;Courrier;Réclamation;Oui;Non;Oui;7;Non
DOS50135;09/09/2023;AG012;210;Non;;26,49;Courrier;Résiliation;Oui;Non;Oui;10;Oui
DOS50136;21/03/2023;AG007;216;Non;;44,82;Téléphone;Facturation;Non;Non;Oui;;Oui
DOS50137;02/12/2023;AG003;432;Non;5;44,06;Téléphone;Facturation;Oui;Non;Oui;0;Non
DOS50138;25/01/2023;AG012;408;Non;5;44,15;Téléphone;Panne compteur;Oui;Oui;Oui;8;Non
DOS50139;15/01/2023;AG007;204;Oui;5;29,09;Téléphone;Souscription contrat;Non;Non;Oui;6;Oui
DOS50140;29/08/2023;AG025;324;Oui;5;51,62;Chat;Déménagement;Non;Non;Oui;5;Oui
DOS50141;21/04/2023;AG012;138;Non;4;39,5;Téléphone;Réclamation;Non;Non;Oui;9;Oui
DOS50142;06/11/2023;AG019;372;Non;4;30,37;Email;Facturation;Oui;Non;Oui;;Oui
DOS50143;08/06/2023;AG008;198;Non;5;37,44;Courrier;Facturation;Oui;Non;Non Renseigné;7;Oui
DOS50144;23/02/2023;AG012;324;Non;4;47;Téléphone;Souscription contrat;Oui;Oui;Oui;;Oui
DOS50145;01/07/2023;AG008;522;Oui;5;43,05;Email;Relevé compteur;Non;Non;Non Renseigné;9;Non
DOS50146;30/09/2023;AG019;186;Non;5;47,95;Courrier;Souscription contrat;Non;Non;Oui;10;Non
DOS50147;28/02/2023;AG025;354;Non;4;52,24;Courrier;Réclamation;Non;Non;Non;;Oui
DOS50148;29/11/2023;AG012;306;Non;3;23,13;Chat;Déménagement;Oui;Non;Oui;;Oui
DOS50149;03/02/2023;AG008;174;Oui;4;44,44;Email;Résiliation;Oui;Non;Oui;9;Oui
DOS50150;23/05/2023;AG003;228;Oui;3;49,71;Courrier;Changement d'offre;Oui;Non;Oui;2;Oui
DOS50151;21/05/2023;AG007;366;Oui;3;19,78;Chat;Changement d'offre;Oui;Non;Oui;;Non
DOS50152;05/01/2023;AG019;288;Non;5;26,12;Courrier;Souscription contrat;Oui;Oui;Oui;4;Non
DOS50153;06/03/2023;AG008;480;Non;5;18,8;Chat;Réclamation;Oui;Non;Non;;Oui
DOS50154;14/04/2023;AG007;372;Non;2;35,67;Chat;Réclamation;Oui;Non;Non;8;Non
DOS50155;08/07/2023;AG012;192;Non;5;17,25;Email;Déménagement;Oui;Non;Oui;;Non
DOS50156;29/10/2023;AG007;414;Oui;5;14,51;Chat;Réclamation;Non;Non;Oui;;Oui
DOS50157;29/01/2023;AG003;432;Oui;5;36,09;Téléphone;Changement d'offre;Non;Non;Oui;;Non
DOS50158;21/05/2023;AG025;348;Non;2;51,83;Téléphone;Résiliation;Non;Non;Oui;9;Non
DOS50159;16/09/2023;AG012;378;Non;4;46,89;Email;Panne compteur;Oui;Non;Oui;;Non
DOS50160;25/04/2023;AG019;342;Oui;;25,16;Chat;Litige paiement;Non;Non;Non;;Non
DOS50161;01/12/2023;AG019;462;Oui;5;21,37;Téléphone;Demande d'information;Non;Non;Oui;;Non
DOS50162;21/08/2023;AG025;444;Oui;5;19,42;Email;Résiliation;Non;Non;Oui;3;Non
DOS50163;27/09/2023;AG025;138;Non;;23,12;Courrier;Résiliation;Non;Non;Oui;7;Oui
DOS50164;30/12/2023;AG025;126;Non;5;37,31;Chat;Résiliation;Oui;Non;Non Renseigné;;Non
DOS50165;27/01/2023;AG025;288;Non;;51,7;Chat;Demande d'information;Non;Non;Non Renseigné;7;Non
DOS50166;03/05/2023;AG007;408;Oui;5;37,06;Courrier;Facturation;Non;Non;Oui;;Oui
DOS50167;08/09/2023;AG012;456;Oui;5;32,98;Courrier;Facturation;Non;Non;Non Renseigné;8;Oui
DOS50168;09/08/2023;AG011;;Non;5;44,25;Email;Changement d'offre;Non;Non;Oui;10;Non
DOS50169;19/10/2023;AG003;288;Oui;5;19,55;Téléphone;Demande d'information;Non;Non;Oui;;Non
DOS50170;21/07/2023;AG019;276;Non;4;17,89;Chat;Déménagement;Oui;Oui;Oui;0;Oui
DOS50171;24/05/2023;AG003;300;Oui;5;19,45;Courrier;Souscription contrat;Oui;Non;Oui;5;Oui
DOS50172;03/06/2023;AG003;330;Oui;4;;Courrier;Facturation;Oui;Non;Oui;;Non
DOS50173;08/01/2023;AG003;258;Non;4;28,05;Téléphone;Facturation;Oui;Non;Oui;5;Oui
DOS50174;29/10/2023;AG012;276;Oui;4;25,99;Email;Résiliation;Non;Oui;Non Renseigné;;Oui
DOS50175;13/06/2023;AG003;360;Non;3;18,48;Email;Relevé compteur;Oui;Non;Oui;6;Non
DOS50176;24/06/2023;AG007;162;Non;;38,37;Chat;Demande d'information;Oui;Non;Oui;;Non
DOS50177;30/12/2023;AG008;534;Non;5;44,75;Courrier;Souscription contrat;Oui;Non;Oui;;Oui
DOS50178;01/08/2023;AG025;570;Oui;5;52,22;Chat;Résiliation;Non;Non;Oui;;Oui
