N_Contact;Date;Agent_ID;Durée_Traitement_Sec;Status;Note_Satisfaction_Client;Montant Facture;Canal;Sujet;Appel traité;Appel repris;Conforme;NPS;Réclamation
CNT-70000;01/12/2023;AG003;109;Résolu;3;24,13;Réseaux Sociaux;Résiliation;Oui;Oui;Oui;;Non
CNT-70001;14/02/2023;AG008;217;Résolu;5;33,28;Téléphone;Changement d'offre;Oui;Non;Non;10;Non
CNT-70002;08/11/2023;AG008;142;Résolu;;13,77;Réseaux Sociaux;Souscription contrat;Oui;Oui;Non Renseigné;10;Non
CNT-70003;11/11/2023;AG005;198;Résolu;2;45,07;Réseaux Sociaux;Panne compteur;Oui;Non;Oui;9;Non
CNT-70004;09/10/2023;AG001;464;Résolu;4;29,11;Chat;Résiliation;Oui;Non;Oui;5;Non
CNT-70005;05/10/2023;AG002;162;Résolu;5;44,78;Réseaux Sociaux;Réclamation;yes;Oui;Non Renseigné;;Non
CNT-70006;15/09/2023;AG008;145;Résolu;4;46,91;Téléphone;Résiliation;Oui;Non;Oui;8;Non
CNT-70007;25/05/2023;AG009;539;Non Résolu;2;38,51;Réseaux Sociaux;Souscription contrat;Oui;Oui;Non Renseigné;4;Non
CNT-70008;22/06/2023;AG001;313;Résolu;3;31,35;Téléphone;Souscription contrat;Oui;Oui;Oui;10;Oui
CNT-70009;27/10/2023;AG002;305;Résolu;5;31,73;Chat;Demande d'information;Oui;Non;Oui;;Non
CNT-70010;12/12/2023;AG008;166;Résolu;;36,89;Email;Changement d'offre;Oui;Non;Non Renseigné;;Non
CNT-70011;14/10/2023;AG004;461;En Attente;2;13,45;Chat;Litige paiement;Oui;Non;Non Renseigné;;Non
CNT-70012;06/11/2023;AG001;114;En Attente;5;15,6;Chat;Litige paiement;Oui;Non;Oui;8;Non
CNT-70013;10/11/2023;AG003;363;Résolu;;25,78;Chat;Relevé compteur;Oui;Non;Oui;;Non
CNT-70014;17/01/2023;AG001;378;Résolu;2;24,69;Réseaux Sociaux;Réclamation;Oui;Oui;Oui;;Non
CNT-70015;10/04/2023;AG004;403;En Attente;5;34,14;Téléphone;Réclamation;Oui;Non;Non;10;Non
CNT-70016;27/12/2023;AG006;;Non Résolu;4;31,39;Chat;Panne compteur;Oui;Non;Non;10;Non
CNT-70017;13/02/2023;AG002;;En Attente;4;35,71;Réseaux Sociaux;Demande d'information;Non;Non;Oui;;Non
CNT-70018;01/08/2023;AG008;285;Résolu;4;11,24;Email;Réclamation;Oui;Oui;Non;4;Non
CNT-70019;29/05/2023;AG002;260;Résolu;5;29,13;Email;Changement d'offre;Oui;Non;Oui;;Oui
CNT-70020;26/04/2023;AG006;153;En Attente;3;48,51;Réseaux Sociaux;Litige paiement;Oui;Non;Oui;8;Non
CNT-70021;14/06/2023;AG003;223;En Attente;;47,82;Réseaux Sociaux;Panne compteur;Oui;Oui;Oui;;Non
CNT-70022;29/03/2023;AG008;379;Résolu;;30,88;Email;Panne compteur;Non;Non;Oui;10;Non
CNT-70023;08/08/2023;AG003;120;Non Résolu;5;42,44;Chat;Déménagement;Non;Non;Oui;3;Non
CNT-70024;18/02/2023;AG003;338;Résolu;4;29,9;Email;Souscription contrat;;Non;Oui;;Non
CNT-70025;15/03/2023;AG002;343;Résolu;1;46,02;Téléphone;Litige paiement;Non;Non;Non;;Non
CNT-70026;20/02/2023;AG002;265;Non Résolu;3;33,93;Email;Réclamation;Oui;Non;Oui;;Non
CNT-70027;06/04/2023;AG002;349;Résolu;5;49,86;Chat;Déménagement;Oui;Non;Oui;7;Non
CNT-70028;08/05/2023;AG006;155;Résolu;1;16,49;Téléphone;Souscription contrat;Oui;Non;Non;;Oui
CNT-70029;09/02/2023;AG003;140;Résolu;5;45,73;Réseaux Sociaux;Souscription contrat;Oui;Non;Oui;10;Non
CNT-70030;11/11/2023;AG002;213;En Attente;5;49,25;Email;Relevé compteur;Oui;Oui;Oui;5;Non
CNT-70031;03/04/2023;AG009;;Résolu;4;38,97;Téléphone;Facturation;Oui;Non;Non;7;Non
CNT-70032;12/08/2023;AG003;452;Non Résolu;4;31,26;Chat;Relevé compteur;Oui;Oui;Oui;5;Non
CNT-70033;25/07/2023;AG009;;Non Résolu;5;36,33;Chat;Relevé compteur;Oui;Non;Oui;10;Non
CNT-70034;03/05/2023;AG004;214;En Attente;3;43,8;Réseaux Sociaux;Facturation;Oui;Non;Non;4;Non
CNT-70035;19/12/2023;AG003;374;Résolu;5;15,68;Chat;Réclamation;Oui;Non;Oui;5;Non
CNT-70036;27/09/2023;AG007;126;Résolu;4;42,02;Chat;Demande d'information;Oui;Non;Oui;;Non
CNT-70037;29/04/2023;AG006;109;Non Résolu;2;35,78;Téléphone;Déménagement;Non;Non;Oui;8;Non
CNT-70038;12/06/2023;AG007;454;Résolu;2;11,16;Chat;Déménagement;Oui;Non;Oui;8;Non
CNT-70039;10/02/2023;AG003;179;Résolu;3;16,39;Réseaux Sociaux;Changement d'offre;Oui;Oui;Oui;;Non
CNT-70040;31/08/2023;AG003;406;Résolu;5;40,74;Téléphone;Facturation;Oui;Non;Non Renseigné;6;Non
CNT-70041;31/10/2023;AG007;391;Résolu;5;25,52;Chat;Demande d'information;Oui;Non;Oui;;Non
CNT-70042;17/08/2023;AG004;354;Résolu;3;48,5;Téléphone;Demande d'information;Non;Non;Oui;8;Non
CNT-70043;26/07/2023;AG005;374;En Attente;;17,82;Email;Changement d'offre;Oui;Oui;Oui;9;Non
CNT-70044;09/04/2023;AG007;476;En Attente;;49,94;Email;Facturation;Non;Non;Oui;;Non
CNT-70045;15/04/2023;AG004;370;Résolu;5;17,25;Réseaux Sociaux;Panne compteur;Oui;Oui;Non;;Non
CNT-70046;12/11/2023;AG009;46;Non Résolu;5;30,56;Chat;Souscription contrat;Oui;Non;Oui;9;Non
CNT-70047;30/12/2023;AG004;292;Résolu;2;18,52;Téléphone;Panne compteur;Oui;Non;Non;;Non
CNT-70048;07/08/2023;AG005;269;Résolu;2;22,77;Réseaux Sociaux;Déménagement;Oui;Non;Oui;7;Non
CNT-70049;26/04/2023;AG006;201;En Attente;4;16,46;Email;Réclamation;Oui;Non;Oui;8;Non
CNT-70050;13/02/2023;AG004;226;Non Résolu;1;47,97;Téléphone;Résiliation;Non;Non;Non;;Non
CNT-70051;29/12/2023;AG006;246;Non Résolu;4;32,83;Email;Relevé compteur;Oui;Non;Oui;10;Non
CNT-70052;17/03/2023;AG006;228;Résolu;4;;Email;Changement d'offre;Oui;Non;Oui;0;Non
CNT-70053;29/10/2023;AG009;387;Non Résolu;4;46,04;Chat;Panne compteur;Oui;Non;Non Renseigné;7;Non
CNT-70054;29/08/2023;AG007;527;Non Résolu;4;29,16;Réseaux Sociaux;Déménagement;Non;Non;Oui;;Non
CNT-70055;15/10/2023;AG006;199;En Attente;2;39,06;Réseaux Sociaux;Panne compteur;Oui;Non;Non;7;Non
CNT-70056;31/05/2023;AG006;94;Non Résolu;4;14,97;Réseaux Sociaux;Panne compteur;Non;Non;Non Renseigné;;Non
CNT-70057;23/04/2023;AG004;308;Résolu;4;33,85;Téléphone;Litige paiement;Oui;Non;Non;;Oui
CNT-70058;13/08/2023;AG002;;En Attente;5;25,22;Téléphone;Réclamation;Oui;Non;Oui;;Non
CNT-70059;03/04/2023;AG006;257;Non Résolu;5;30,11;Téléphone;Facturation;Oui;Non;Non Renseigné;8;Non
CNT-70060;30/04/2023;AG003;365;Résolu;5;35,59;Email;Relevé compteur;Oui;Non;Oui;9;Non
CNT-70061;21/06/2023;AG009;210;Non Résolu;4;20,89;Téléphone;Résiliation;Oui;Non;Oui;;Non
CNT-70062;21/04/2023;AG006;257;Résolu;4;29,43;Email;Déménagement;Oui;Non;Oui;9;Non
CNT-70063;24/05/2023;AG001;381;Résolu;;49,04;Téléphone;Réclamation;Oui;Oui;Oui;;Non
CNT-70064;19/07/2023;AG003;244;En Attente;2;14,76;Téléphone;Litige paiement;Oui;Non;Oui;8;Non
CNT-70065;21/01/2023;AG008;308;Résolu;2;22,35;Téléphone;Demande d'information;Oui;Oui;Oui;9;Non
CNT-70066;24/02/2023;AG004;320;Résolu;3;44,73;Réseaux Sociaux;Résiliation;Oui;Non;Oui;8;Non
CNT-70067;28/12/2023;AG002;245;Non Résolu;;29,97;Email;Demande d'information;Oui;Non;Oui;;Non
